Sponsor Name,Email
 Pennyindia, care@pennyindia.com
TENSIFT FARMERS FERTILIZER PRIVATE LIMITED, tffcoodisha@gmail.com
AROVR INNOVATIONS PVT. LTD., kanha.hitesh@gmail.com
PREEMINENCE SMARTECH PRIVATE LIMITED, prs@iitbbs.ac.in
PRIMP TECHNOLOGIES PRIVATE LIMITED, mailsatya90@icloud.com
AUTOMATRIX ROBOTICS PRIVATE LIMITED, sanatanbiswal444@gmail.com
ARCHON MOTORS PRIVATE LIMITED, officearchon@gmail.com
VR GUIDES PRIVATE LIMITED, pramodsaini@gmail.com
Chakraborty And Lahkar Innovations Private Limited, suvradeepchakraborty.db@gmail.com
V-Bharat Fintech Private Limited, akash@v-bharat.com
Sigmascott Private Limited, hi.sigmascott@gmail.com
U Green Technology Pvt Ltd, gauravd2901@gmail.com
SKILL SHORES RIC SOLUTION PRIVATE LIMITED, subratkumar.9169@gmail.com
MO OIL VENTURES PRIVATE LIMITED, mofuel@mofuel.in
BIOTEZ AGRINOVATION, biotez.agrinovation@gmail.com
Fulkerya, connect@fulkerya.com
Qrata, contact@qrata.co
Socialwell, hi@socialwell.net
Expouse, support@expouse.com
CILENTA SERVICES, info@cilenta.in
Sparrow Campus, hello@sparrowcampus.com
Maavni Designs, maavnicustomercare@gmail.com
NIRMALYA LABS PVT LTD, info@nirmalyalabs.com
Boscoe Solutions, MONIBOSE.BOSE@GMAIL.COM
BUDDHIDATA EDUCATION SOLUTIONS PRIVATE LIMITED, https://http//sharptutor.in/
ARRELIC RELIABILITY PRIVATE LIMITED, info@arrelic.com
Sugrmed, Pradeepta k mallick
medTel healthcare, board@medtel.in
KYTICS TECHNOLOGIES PVT LTD, info@kytics.in
Bluyee Technology, support@bluyee.co.in
NatNov Bioscience Pvt. Ltd., info@natnovbioscience.com
Shout My Shop, shoutmyshop@gmail.com
 
